threads,repeat,histogram,bin,bin_label,content,exact_error,approx_error,rowwise_error,error_difference,relative_difference_pct,rowwise_relative_difference_pct
2,1,selected_nMuon,5,4.0,352.5555555555625,7.781745019952413,7.781745019952413,6.258820935781063,0.0,0.0,-19.57047012291676
2,1,selected_nMuon,6,overflow,23.4444444444444,1.9404721329525554,1.9404721329525554,1.61398211625933,0.0,0.0,-16.825287575578297
2,2,nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
2,2,nMuon,1,0.0,10149.666666666588,99.12562175789327,99.12313081076702,33.58185135964662,-0.0024909471262475336,-0.0025129195480144695,-66.12192613362092
2,2,nMuon,2,1.0,27232.33333333133,158.30323300630164,158.30323300630167,55.00740690859713,2.842170943040401e-14,2.220446049250313e-14,-65.25187397378838
2,2,nMuon,3,2.0,36635.55555555498,177.91224081580432,177.91008965205424,63.80138935746327,-0.002151163750085061,-0.0012091150896731406,-64.1388422376637
2,2,nMuon,4,3.0,4460.555555555458,35.62787783481403,35.62753131574525,22.26246356427728,-0.00034651906877769534,-0.0009726065368975689,-37.51392191391384
2,2,nMuon,5,4.0,362.77777777778493,7.909207011803075,7.909207011803075,6.3489087231828325,0.0,0.0,-19.727619801729514
2,2,nMuon,6,overflow,24.111111111111065,1.9594657876164907,1.9594657876164907,1.636768873628473,0.0,0.0,-16.468616907088172
2,2,nGenJet,0,underflow,0.0,0.0,0.0,0.0,0.0,,
2,2,nGenJet,1,0.0,407.0,20.174241001832016,20.174241001832016,6.724747000610529,0.0,0.0,-66.66666666666737
2,2,nGenJet,2,1.0,669.0,25.865034312755125,25.865034312755125,8.621678104251718,0.0,0.0,-66.66666666666663
2,2,nGenJet,3,2.0,21490.0,146.59467930317254,146.59232122446014,48.8648931010357,-0.0023580787124046765,-0.0016085704635515619,-66.66666666668155
2,2,nGenJet,4,3.0,18480.0,135.94116374373144,135.94116374373144,45.31372124790422,0.0,0.0,-66.66666666667128
2,2,nGenJet,5,4.0,14582.0,120.75595223424807,120.75452091324637,40.251984078095745,-0.0014313210017036226,-0.0011853005795758875,-66.66666666665586
