timestamp_utc,root_version,mode,events,threads,repeat,seconds,rows_per_second,peak_rss_growth_kib
2026-09-25T15:14:21+00:00,6.36.02,sequential,50000,1,1,0.0231411,6.48197e+06,0
2026-09-25T15:14:21+00:00,6.36.02,sequential,50000,1,2,0.0230955,6.49478e+06,0
2026-09-25T15:14:21+00:00,6.36.02,slot-local,50000,1,1,0.0811258,1.84898e+06,6144
2026-09-25T15:14:21+00:00,6.36.02,slot-local,50000,1,2,0.0918943,1.63231e+06,4096
2026-09-25T15:14:21+00:00,6.36.02,slot-local,50000,2,1,0.0890961,1.68357e+06,2048
2026-09-25T15:14:21+00:00,6.36.02,slot-local,50000,2,2,0.115543,1.29822e+06,4096
2026-09-25T15:14:21+00:00,6.36.02,slot-local,50000,4,1,0.10919,1.37375e+06,4096
2026-09-25T15:14:21+00:00,6.36.02,slot-local,50000,4,2,0.121861,1.23091e+06,2048
2026-09-25T15:14:21+00:00,6.36.02,range-aware,50000,1,1,0.0521828,2.87451e+06,2048
2026-09-25T15:14:21+00:00,6.36.02,range-aware,50000,1,2,0.0522474,2.87096e+06,2048
2026-09-25T15:14:21+00:00,6.36.02,range-aware,50000,2,1,0.106574,1.40747e+06,2048
2026-09-25T15:14:21+00:00,6.36.02,range-aware,50000,2,2,0.116307,1.28969e+06,2048
2026-09-25T15:14:21+00:00,6.36.02,range-aware,50000,4,1,0.113553,1.32097e+06,3952
2026-09-25T15:14:21+00:00,6.36.02,range-aware,50000,4,2,0.140806,1.06529e+06,3928
